car_make,id1,car_model,id2,link
Infiniti,11650,M30,9,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;9&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,M35,11,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;11&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,M37,10,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;10&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,Q30,18,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;18&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,Q45,6,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;6&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,Q50,13,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;13&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,Q60,14,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;14&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,Q70,15,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;15&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,QX30,19,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;19&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,QX50,16,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;16&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,QX56,7,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;7&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,QX60,34,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;34&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,QX70,17,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;17&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,QX80,35,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;35&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;1&ref=quickSearch&sfmr=false&vc=Car
Isuzu,11900,Campo,2,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11900;2&ref=quickSearch&sfmr=false&vc=Car
Isuzu,11900,D-Max,10,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11900;10&ref=quickSearch&sfmr=false&vc=Car
Isuzu,11900,Gemini,4,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11900;4&ref=quickSearch&sfmr=false&vc=Car
Isuzu,11900,Midi,5,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11900;5&ref=quickSearch&sfmr=false&vc=Car
Isuzu,11900,PICK UP,8,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11900;8&ref=quickSearch&sfmr=false&vc=Car
Isuzu,11900,Trooper,9,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11900;9&ref=quickSearch&sfmr=false&vc=Car
Isuzu,11900,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11900;1&ref=quickSearch&sfmr=false&vc=Car
Iveco,12100,Massif,2,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12100;2&ref=quickSearch&sfmr=false&vc=Car
Iveco,12100,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12100;1&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,Daimler,2,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;2&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,E-Pace,8,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;8&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,E-Type,20,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;20&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,F-Pace,6,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;6&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,F-Type,3,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;3&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,I-Pace,18,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;18&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,MK II,5,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;5&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,S-Type,7,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;7&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XE,4,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;4&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XF,24,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;24&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XJ,9,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;9&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XJ12,10,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;10&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XJ40,11,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;11&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XJ6,12,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;12&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XJ8,13,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;13&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XJR,14,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;14&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XJS,15,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;15&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XJSC,16,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;16&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XK,23,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;23&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XK8,17,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;17&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,XKR,22,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;22&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,X-Type,19,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;19&ref=quickSearch&sfmr=false&vc=Car
Jaguar,12400,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=12400;1&ref=quickSearch&sfmr=false&vc=Car
